"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.2","2","Interventions","EX","DOMAIN","Domain Abbreviation","Char","",,"EX","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Interventions","EX","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Interventions","EX","EXSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Interventions","EX","EXGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Interventions","EX","EXREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier (e.g., kit number, bottle label, vial identifier).","Perm"
"SDTMIG v3.2","7","Interventions","EX","EXSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF Page.","Perm"
"SDTMIG v3.2","8","Interventions","EX","EXLNKID","Link ID","Char","",,"","Identifier","Identifier used to link related records across domains.","Perm"
"SDTMIG v3.2","9","Interventions","EX","EXLNKGRP","Link Group ID","Char","",,"","Identifier","Identifier used to link related, grouped records across domains.","Perm"
"SDTMIG v3.2","10","Interventions","EX","EXTRT","Name of Treatment","Char","",,"","Topic","Name of the protocol-specified study treatment given during the dosing period for the observation.","Req"
"SDTMIG v3.2","11","Interventions","EX","EXCAT","Category of Treatment","Char","",,"","Grouping Qualifier","Used to define a category of EXTRT values.","Perm"
"SDTMIG v3.2","12","Interventions","EX","EXSCAT","Subcategory of Treatment","Char","",,"","Grouping Qualifier","A further categorization of EXCAT values.","Perm"
"SDTMIG v3.2","13","Interventions","EX","EXDOSE","Dose","Num","",,"","Record Qualifier","Amount of EXTRT when numeric. Not populated when EXDOSTXT is populated.","Exp"
"SDTMIG v3.2","14","Interventions","EX","EXDOSTXT","Dose Description","Char","",,"","Record Qualifier","Amount of EXTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: 200-400. Not populated when EXDOSE is populated.","Perm"
"SDTMIG v3.2","15","Interventions","EX","EXDOSU","Dose Units","Char","C71620",,"","Variable Qualifier","Units for EXDOSE, EXDOSTOT, or EXDOSTXT representing protocol-specified values. Examples: ng, mg, mg/kg, mg/m2.","Exp"
"SDTMIG v3.2","16","Interventions","EX","EXDOSFRM","Dose Form","Char","C66726",,"","Variable Qualifier","Dose form for EXTRT. Examples: TABLET, LOTION.","Exp"
"SDTMIG v3.2","17","Interventions","EX","EXDOSFRQ","Dosing Frequency per Interval","Char","C71113",,"","Variable Qualifier","Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: Q2H, QD, BID.","Perm"
"SDTMIG v3.2","18","Interventions","EX","EXDOSRGM","Intended Dose Regimen","Char","",,"","Variable Qualifier","Text description of the intended schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF.","Perm"
"SDTMIG v3.2","19","Interventions","EX","EXROUTE","Route of Administration","Char","C66729",,"","Variable Qualifier","Route of administration for the intervention. Examples: ORAL, INTRAVENOUS.","Perm"
"SDTMIG v3.2","20","Interventions","EX","EXLOT","Lot Number","Char","",,"","Record Qualifier","Lot Number of the intervention product.","Perm"
"SDTMIG v3.2","21","Interventions","EX","EXLOC","Location of Dose Administration","Char","C74456",,"","Record Qualifier","Specifies location of administration. Examples: ARM, LIP.","Perm"
"SDTMIG v3.2","22","Interventions","EX","EXLAT","Laterality","Char","C99073",,"","Variable Qualifier","Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: LEFT, RIGHT.","Perm"
"SDTMIG v3.2","23","Interventions","EX","EXDIR","Directionality","Char","C99074",,"","Variable Qualifier","Qualifier for anatomical location further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL, UPPER.","Perm"
"SDTMIG v3.2","24","Interventions","EX","EXFAST","Fasting Status","Char","C66742",,"","Record Qualifier","Indicator used to identify fasting status. Examples: Y, N.","Perm"
"SDTMIG v3.2","25","Interventions","EX","EXADJ","Reason for Dose Adjustment","Char","",,"","Record Qualifier","Describes reason or explanation of why a dose is adjusted.","Perm"
"SDTMIG v3.2","26","Interventions","EX","EPOCH","Epoch","Char","C99079",,"","Timing","Trial Epoch of the Exposure record. Examples: RUN-IN, TREATMENT.","Perm"
"SDTMIG v3.2","27","Interventions","EX","EXSTDTC","Start Date/Time of Treatment","Char","","ISO 8601","","Timing","The date/time when administration of the treatment indicated by EXTRT and EXDOSE began.","Exp"
"SDTMIG v3.2","28","Interventions","EX","EXENDTC","End Date/Time of Treatment","Char","","ISO 8601","","Timing","The date/time when administration of the treatment indicated by EXTRT and EXDOSE ended. For administrations considered given at a point in time (e.g., oral tablet, pre-filled syringe injection), where only an administration date/time is collected, EXSTDTC should be copied to EXENDTC as the standard representation.","Exp"
"SDTMIG v3.2","29","Interventions","EX","EXSTDY","Study Day of Start of Treatment","Num","",,"","Timing","Study day of EXSTDTC relative to DM.RFSTDTC.","Perm"
"SDTMIG v3.2","30","Interventions","EX","EXENDY","Study Day of End of Treatment","Num","",,"","Timing","Study day of EXENDTC relative to DM.RFSTDTC.","Perm"
"SDTMIG v3.2","31","Interventions","EX","EXDUR","Duration of Treatment","Char","","ISO 8601","","Timing","Collected duration of administration represented in ISO 8601 duration format. Used only if collected on the CRF and not derived from start and end date/times.","Perm"
"SDTMIG v3.2","32","Interventions","EX","EXTPT","Planned Time Point Name","Char","",,"","Timing","1. Text Description of time when administration should occur. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.","Perm"
"SDTMIG v3.2","33","Interventions","EX","EXTPTNUM","Planned Time Point Number","Num","",,"","Timing","Numerical version of EXTPT to aid in sorting.","Perm"
"SDTMIG v3.2","34","Interventions","EX","EXELTM","Planned Elapsed Time from Time Point Ref","Char","","ISO 8601","","Timing","Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time. Represented in ISO 8601 duration format.","Perm"
"SDTMIG v3.2","35","Interventions","EX","EXTPTREF","Time Point Reference","Char","",,"","Timing","Name of the fixed reference point referred to by EXELTM, EXTPTNUM, and EXTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.","Perm"
"SDTMIG v3.2","36","Interventions","EX","EXRFTDTC","Date/Time of Reference Time Point","Char","","ISO 8601","","Timing","Date/time for a fixed reference time point defined by EXTPTREF in ISO 8601 character format.","Perm"
"SDTMIG v3.2","1","Events","DS","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Events","DS","DOMAIN","Domain Abbreviation","Char","",,"DS","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Events","DS","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Events","DS","DSSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Events","DS","DSGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Events","DS","DSREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier.","Perm"
"SDTMIG v3.2","7","Events","DS","DSSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Disposition page.","Perm"
"SDTMIG v3.2","8","Events","DS","DSTERM","Reported Term for the Disposition Event","Char","",,"","Topic","Verbatim name of the event or protocol milestone. Some terms in DSTERM will match DSDECOD, but others, such as ""Subject moved"" will map to controlled terminology in DSDECOD, such as ""LOST TO FOLLOW-UP.""","Req"
"SDTMIG v3.2","9","Events","DS","DSDECOD","Standardized Disposition Term","Char","C66727",,"","Synonym Qualifier","Controlled terminology for the name of disposition event or protocol milestone. Examples of protocol milestones: INFORMED CONSENT OBTAINED, RANDOMIZED","Req"
"SDTMIG v3.2","10","Events","DS","DSCAT","Category for Disposition Event","Char","C74558",,"","Grouping Qualifier","Used to define a category of related records. DSCAT is now an ""Expected"" variable. DSCAT was permissible in SDTMIG 3.1.1 and earlier versions. The change from ""permissible"" to ""expected"" is based on the requirement to distinguish protocol milestones and/or other events from disposition events. DSCAT may be null if there are only ""disposition events""; however, it is recommended that DSCAT always be populated.","Exp"
"SDTMIG v3.2","11","Events","DS","DSSCAT","Subcategory for Disposition Event","Char","",,"","Grouping Qualifier","A further categorization of disposition event.","Perm"
"SDTMIG v3.2","12","Events","DS","EPOCH","Epoch","Char","C99079",,"","Timing","EPOCH may be used when DSCAT = ""DISPOSITION EVENT"". Examples: SCREENING, TREATMENT, FOLLOW-UP","Perm"
"SDTMIG v3.2","13","Events","DS","DSDTC","Date/Time of Collection","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","14","Events","DS","DSSTDTC","Start Date/Time of Disposition Event","Char","","ISO 8601","","Timing",,"Exp"
"SDTMIG v3.2","15","Events","DS","DSSTDY","Study Day of Start of Disposition Event","Num","",,"","Timing","Study day of start of event relative to the sponsor-defined RFSTDTC.","Perm"
